TIMESTAMP,DATE TIME,SENSORID,PRESSURE
1499040001,2017/07/03 00:00:01,2,-8.8746
1499040011,2017/07/03 00:00:11,2,-8.8693
1499040021,2017/07/03 00:00:21,2,-8.8662
1499040032,2017/07/03 00:00:32,2,-8.8647
1499040041,2017/07/03 00:00:41,2,-8.8601
1499040052,2017/07/03 00:00:52,2,-8.8586
1499040062,2017/07/03 00:01:02,2,-8.854
1499040072,2017/07/03 00:01:12,2,-8.8532
1499040082,2017/07/03 00:01:22,2,-8.8509
1499040092,2017/07/03 00:01:32,2,-8.8486
1499040102,2017/07/03 00:01:42,2,-8.8471
1499040112,2017/07/03 00:01:52,2,-8.8456
1499040122,2017/07/03 00:02:02,2,-8.8471
1499040132,2017/07/03 00:02:12,2,-8.8425
1499040142,2017/07/03 00:02:22,2,-8.8372
1499040152,2017/07/03 00:02:32,2,-8.8379
1499040162,2017/07/03 00:02:42,2,-8.8379
1499040172,2017/07/03 00:02:52,2,-8.8303
1499040182,2017/07/03 00:03:02,2,-8.8257
1499040192,2017/07/03 00:03:12,2,-8.8287
1499040203,2017/07/03 00:03:23,2,-8.8234
1499040213,2017/07/03 00:03:33,2,-8.8203
1499040223,2017/07/03 00:03:43,2,-8.8173
1499040233,2017/07/03 00:03:53,2,-8.815
1499040243,2017/07/03 00:04:03,2,-8.8089
1499040253,2017/07/03 00:04:13,2,-8.8043
1499040263,2017/07/03 00:04:23,2,-8.7997
1499040273,2017/07/03 00:04:33,2,-8.7951
1499040283,2017/07/03 00:04:43,2,-8.7905
1499040293,2017/07/03 00:04:53,2,-8.7898
1499040303,2017/07/03 00:05:03,2,-8.7867
1499040313,2017/07/03 00:05:13,2,-8.7844
1499040323,2017/07/03 00:05:23,2,-8.7806
1499040334,2017/07/03 00:05:34,2,-8.7775
1499040343,2017/07/03 00:05:43,2,-8.7768
1499040354,2017/07/03 00:05:54,2,-8.7729
1499040364,2017/07/03 00:06:04,2,-8.7699
1499040374,2017/07/03 00:06:14,2,-8.7661
1499040384,2017/07/03 00:06:24,2,-8.7622
1499040394,2017/07/03 00:06:34,2,-8.7584
1499040404,2017/07/03 00:06:44,2,-8.7515
1499040414,2017/07/03 00:06:54,2,-8.7462
1499040425,2017/07/03 00:07:05,2,-8.7424
1499040435,2017/07/03 00:07:15,2,-8.7385
1499040445,2017/07/03 00:07:25,2,-8.7355
1499040455,2017/07/03 00:07:35,2,-8.7339
1499040465,2017/07/03 00:07:45,2,-8.7309
1499040475,2017/07/03 00:07:55,2,-8.7263
1499040485,2017/07/03 00:08:05,2,-8.7225
1499040495,2017/07/03 00:08:15,2,-8.7194
1499040505,2017/07/03 00:08:25,2,-8.7164
1499040515,2017/07/03 00:08:35,2,-8.7141
1499040525,2017/07/03 00:08:45,2,-8.7102
1499040535,2017/07/03 00:08:55,2,-8.7072
1499040546,2017/07/03 00:09:06,2,-8.7026
1499040555,2017/07/03 00:09:15,2,-8.6965
1499040566,2017/07/03 00:09:26,2,-8.6911
1499040575,2017/07/03 00:09:35,2,-8.6911
1499040586,2017/07/03 00:09:46,2,-8.6911
1499040596,2017/07/03 00:09:56,2,-8.6888
1499040606,2017/07/03 00:10:06,2,-8.6858
1499040616,2017/07/03 00:10:16,2,-8.6827
1499040626,2017/07/03 00:10:26,2,-8.6827
1499040636,2017/07/03 00:10:36,2,-8.6804
1499040646,2017/07/03 00:10:46,2,-8.6797
1499040656,2017/07/03 00:10:56,2,-8.6774
1499040666,2017/07/03 00:11:06,2,-8.6758
1499040676,2017/07/03 00:11:16,2,-8.6735
1499040686,2017/07/03 00:11:26,2,-8.6735
1499040696,2017/07/03 00:11:36,2,-8.6705
1499040706,2017/07/03 00:11:46,2,-8.6651
1499040716,2017/07/03 00:11:56,2,-8.659
1499040726,2017/07/03 00:12:06,2,-8.6583
1499040737,2017/07/03 00:12:17,2,-8.6552
1499040746,2017/07/03 00:12:26,2,-8.6529
1499040757,2017/07/03 00:12:37,2,-8.6514
1499040767,2017/07/03 00:12:47,2,-8.6491
1499040777,2017/07/03 00:12:57,2,-8.6476
1499040787,2017/07/03 00:13:07,2,-8.646
1499040797,2017/07/03 00:13:17,2,-8.6445
1499040807,2017/07/03 00:13:27,2,-8.6422
1499040817,2017/07/03 00:13:37,2,-8.6399
1499040828,2017/07/03 00:13:48,2,-8.6399
1499040837,2017/07/03 00:13:57,2,-8.6346
1499040848,2017/07/03 00:14:08,2,-8.6307
1499040858,2017/07/03 00:14:18,2,-8.6292
1499040868,2017/07/03 00:14:28,2,-8.6277
1499040878,2017/07/03 00:14:38,2,-8.6246
1499040888,2017/07/03 00:14:48,2,-8.6216
1499040898,2017/07/03 00:14:58,2,-8.6185
1499040908,2017/07/03 00:15:08,2,-8.6154
1499040918,2017/07/03 00:15:18,2,-8.6101
1499040928,2017/07/03 00:15:28,2,-8.6024
1499040939,2017/07/03 00:15:39,2,-8.5986
1499040948,2017/07/03 00:15:48,2,-8.5971
1499040959,2017/07/03 00:15:59,2,-8.594
1499040968,2017/07/03 00:16:08,2,-8.5917
1499040979,2017/07/03 00:16:19,2,-8.5879
1499040989,2017/07/03 00:16:29,2,-8.5856
1499040999,2017/07/03 00:16:39,2,-8.5833
1499041009,2017/07/03 00:16:49,2,-8.581
1499041019,2017/07/03 00:16:59,2,-8.5787
1499041029,2017/07/03 00:17:09,2,-8.5765
1499041039,2017/07/03 00:17:19,2,-8.5726
1499041050,2017/07/03 00:17:30,2,-8.5719
1499041060,2017/07/03 00:17:40,2,-8.5696
1499041070,2017/07/03 00:17:50,2,-8.568
1499041080,2017/07/03 00:18:00,2,-8.5665
1499041090,2017/07/03 00:18:10,2,-8.5635
1499041100,2017/07/03 00:18:20,2,-8.5635
1499041110,2017/07/03 00:18:30,2,-8.5612
1499041121,2017/07/03 00:18:41,2,-8.5604
1499041131,2017/07/03 00:18:51,2,-8.5596
1499041141,2017/07/03 00:19:01,2,-8.5573
1499041151,2017/07/03 00:19:11,2,-8.5573
1499041161,2017/07/03 00:19:21,2,-8.5543
1499041171,2017/07/03 00:19:31,2,-8.5543
1499041181,2017/07/03 00:19:41,2,-8.5512
1499041191,2017/07/03 00:19:51,2,-8.5512
1499041201,2017/07/03 00:20:01,2,-8.5466
1499041211,2017/07/03 00:20:11,2,-8.5443
1499041221,2017/07/03 00:20:21,2,-8.542
