TIMESTAMP,DATE TIME,SENSORID,PRESSURE
1500682836,2017/07/22 00:20:36,2,-9.068
1500682846,2017/07/22 00:20:46,2,-9.0612
1500682856,2017/07/22 00:20:56,2,-9.0581
1500682866,2017/07/22 00:21:06,2,-9.0558
1500682876,2017/07/22 00:21:16,2,-9.0543
1500682886,2017/07/22 00:21:26,2,-9.0505
1500682896,2017/07/22 00:21:36,2,-9.0451
1500682907,2017/07/22 00:21:47,2,-9.0451
1500682916,2017/07/22 00:21:56,2,-9.0451
1500682927,2017/07/22 00:22:07,2,-9.0459
1500682936,2017/07/22 00:22:16,2,-9.0474
1500682947,2017/07/22 00:22:27,2,-9.0482
1500682956,2017/07/22 00:22:36,2,-9.0505
1500682967,2017/07/22 00:22:47,2,-9.0497
1500682977,2017/07/22 00:22:57,2,-9.0482
1500682987,2017/07/22 00:23:07,2,-9.0466
1500682997,2017/07/22 00:23:17,2,-9.0466
1500683007,2017/07/22 00:23:27,2,-9.0436
1500683017,2017/07/22 00:23:37,2,-9.0398
1500683027,2017/07/22 00:23:47,2,-9.0359
1500683038,2017/07/22 00:23:58,2,-9.0321
1500683048,2017/07/22 00:24:08,2,-9.0275
1500683058,2017/07/22 00:24:18,2,-9.0222
1500683068,2017/07/22 00:24:28,2,-9.0176
1500683078,2017/07/22 00:24:38,2,-9.0145
1500683088,2017/07/22 00:24:48,2,-9.0076
1500683098,2017/07/22 00:24:58,2,-9.0031
1500683108,2017/07/22 00:25:08,2,-8.9977
1500683118,2017/07/22 00:25:18,2,-8.9916
1500683128,2017/07/22 00:25:28,2,-8.9817
1500683138,2017/07/22 00:25:38,2,-8.9748
1500683148,2017/07/22 00:25:48,2,-8.9671
1500683158,2017/07/22 00:25:58,2,-8.9602
1500683168,2017/07/22 00:26:08,2,-8.9534
1500683178,2017/07/22 00:26:18,2,-8.9465
1500683188,2017/07/22 00:26:28,2,-8.9388
1500683198,2017/07/22 00:26:38,2,-8.9304
1500683208,2017/07/22 00:26:48,2,-8.922
1500683219,2017/07/22 00:26:59,2,-8.9136
1500683228,2017/07/22 00:27:08,2,-8.906
1500683239,2017/07/22 00:27:19,2,-8.8976
1500683249,2017/07/22 00:27:29,2,-8.8899
1500683259,2017/07/22 00:27:39,2,-8.883
1500683269,2017/07/22 00:27:49,2,-8.8746
1500683279,2017/07/22 00:27:59,2,-8.867
1500683289,2017/07/22 00:28:09,2,-8.8609
1500683299,2017/07/22 00:28:19,2,-8.8547
1500683309,2017/07/22 00:28:29,2,-8.8486
1500683319,2017/07/22 00:28:39,2,-8.841
1500683329,2017/07/22 00:28:49,2,-8.8356
1500683339,2017/07/22 00:28:59,2,-8.8295
1500683349,2017/07/22 00:29:09,2,-8.8234
1500683359,2017/07/22 00:29:19,2,-8.8188
1500683370,2017/07/22 00:29:30,2,-8.8119
1500683380,2017/07/22 00:29:40,2,-8.8066
1500683390,2017/07/22 00:29:50,2,-8.802
1500683400,2017/07/22 00:30:00,2,-8.7974
1500683410,2017/07/22 00:30:10,2,-8.7928
1500683420,2017/07/22 00:30:20,2,-8.7882
1500683430,2017/07/22 00:30:30,2,-8.7829
1500683440,2017/07/22 00:30:40,2,-8.7791
1500683450,2017/07/22 00:30:50,2,-8.7745
1500683460,2017/07/22 00:31:00,2,-8.7706
1500683470,2017/07/22 00:31:10,2,-8.7653
1500683480,2017/07/22 00:31:20,2,-8.7607
1500683490,2017/07/22 00:31:30,2,-8.7538
1500683500,2017/07/22 00:31:40,2,-8.7492
1500683510,2017/07/22 00:31:50,2,-8.7454
1500683520,2017/07/22 00:32:00,2,-8.7416
1500683530,2017/07/22 00:32:10,2,-8.737
1500683540,2017/07/22 00:32:20,2,-8.7317
1500683550,2017/07/22 00:32:30,2,-8.7255
1500683560,2017/07/22 00:32:40,2,-8.7209
1500683570,2017/07/22 00:32:50,2,-8.7164
1500683580,2017/07/22 00:33:00,2,-8.7118
1500683591,2017/07/22 00:33:11,2,-8.7072
1500683600,2017/07/22 00:33:20,2,-8.7049
1500683611,2017/07/22 00:33:31,2,-8.7011
1500683621,2017/07/22 00:33:41,2,-8.6957
1500683631,2017/07/22 00:33:51,2,-8.6919
1500683641,2017/07/22 00:34:01,2,-8.6881
1500683651,2017/07/22 00:34:11,2,-8.6843
1500683661,2017/07/22 00:34:21,2,-8.6804
1500683671,2017/07/22 00:34:31,2,-8.6766
1500683682,2017/07/22 00:34:42,2,-8.6728
1500683691,2017/07/22 00:34:51,2,-8.6697
1500683702,2017/07/22 00:35:02,2,-8.6644
1500683712,2017/07/22 00:35:12,2,-8.6613
1500683722,2017/07/22 00:35:22,2,-8.6567
1500683732,2017/07/22 00:35:32,2,-8.6537
1500683742,2017/07/22 00:35:42,2,-8.6491
1500683752,2017/07/22 00:35:52,2,-8.646
1500683762,2017/07/22 00:36:02,2,-8.6414
1500683772,2017/07/22 00:36:12,2,-8.6361
1500683782,2017/07/22 00:36:22,2,-8.6323
1500683792,2017/07/22 00:36:32,2,-8.6292
1500683802,2017/07/22 00:36:42,2,-8.6254
1500683813,2017/07/22 00:36:53,2,-8.6208
1500683822,2017/07/22 00:37:02,2,-8.6177
1500683833,2017/07/22 00:37:13,2,-8.6131
1500683842,2017/07/22 00:37:22,2,-8.6086
1500683853,2017/07/22 00:37:33,2,-8.6047
1500683863,2017/07/22 00:37:43,2,-8.6009
1500683873,2017/07/22 00:37:53,2,-8.5979
1500683883,2017/07/22 00:38:03,2,-8.5948
1500683893,2017/07/22 00:38:13,2,-8.5925
1500683903,2017/07/22 00:38:23,2,-8.591
1500683913,2017/07/22 00:38:33,2,-8.5872
1500683923,2017/07/22 00:38:43,2,-8.5849
1500683933,2017/07/22 00:38:53,2,-8.5818
1500683943,2017/07/22 00:39:03,2,-8.5757
1500683953,2017/07/22 00:39:13,2,-8.5726
1500683964,2017/07/22 00:39:24,2,-8.5696
1500683973,2017/07/22 00:39:33,2,-8.5657
1500683984,2017/07/22 00:39:44,2,-8.5612
1500683994,2017/07/22 00:39:54,2,-8.5573
1500684004,2017/07/22 00:40:04,2,-8.5543
1500684014,2017/07/22 00:40:14,2,-8.5489
1500684024,2017/07/22 00:40:24,2,-8.5489
1500684034,2017/07/22 00:40:34,2,-8.5428
1500684044,2017/07/22 00:40:44,2,-8.539
1500684054,2017/07/22 00:40:54,2,-8.5359
1500684064,2017/07/22 00:41:04,2,-8.5306
1500684074,2017/07/22 00:41:14,2,-8.5245
1500684084,2017/07/22 00:41:24,2,-8.5206
1500684094,2017/07/22 00:41:34,2,-8.5183
1500684104,2017/07/22 00:41:44,2,-8.5191
1500684115,2017/07/22 00:41:55,2,-8.5161
1500684124,2017/07/22 00:42:04,2,-8.5161
