TIMESTAMP,DATE,TANK NUM,FUEL HEIGHT,WATER HEIGHT,TEMP 1,TEMP 2,TEMP 3,TEMP 4,TEMP 5,TEMP 6
1501460329,2017/07/31 00:18:49,1,69.3894,0.0,74.8343,75.4598,75.6877,75.3408,75.9866,79.2424
1501460334,2017/07/31 00:18:54,1,69.3889,0.0,74.8343,75.4598,75.6877,75.3408,75.9866,79.2424
1501460339,2017/07/31 00:18:59,1,69.3899,0.0,74.8349,75.4595,75.6878,75.3405,75.9868,79.2421
1501460344,2017/07/31 00:19:04,1,69.3906,0.0,74.8349,75.4595,75.6878,75.3405,75.9868,79.2421
1501460349,2017/07/31 00:19:09,1,69.3889,0.0,74.8354,75.4597,75.6871,75.3416,75.9865,79.2418
1501460354,2017/07/31 00:19:14,1,69.3894,0.0,74.8354,75.4597,75.6871,75.3416,75.9865,79.2418
1501460359,2017/07/31 00:19:19,1,69.3894,0.0,74.8359,75.4601,75.6871,75.3424,75.9865,79.2400
1501460364,2017/07/31 00:19:24,1,69.3889,0.0,74.8359,75.4601,75.6871,75.3424,75.9865,79.2400
1501460369,2017/07/31 00:19:29,1,69.3894,0.0,74.8372,75.4601,75.6871,75.3420,75.9856,79.2400
1501460374,2017/07/31 00:19:34,1,69.3894,0.0,74.8372,75.4601,75.6871,75.3420,75.9856,79.2400
1501460379,2017/07/31 00:19:39,1,69.3894,0.0,74.8380,75.4592,75.6875,75.3411,75.9856,79.2404
1501460384,2017/07/31 00:19:44,1,69.3894,0.0,74.8380,75.4592,75.6875,75.3411,75.9856,79.2404
1501460389,2017/07/31 00:19:49,1,69.3898,0.0,74.8386,75.4589,75.6872,75.3421,75.9862,79.2401
1501460394,2017/07/31 00:19:54,1,69.3881,0.0,74.8386,75.4589,75.6872,75.3421,75.9862,79.2401
1501460399,2017/07/31 00:19:59,1,69.3889,0.0,74.8388,75.4583,75.6866,75.3419,75.9869,79.2395
1501460404,2017/07/31 00:20:04,1,69.3894,0.0,74.8388,75.4583,75.6866,75.3419,75.9869,79.2395
1501460409,2017/07/31 00:20:09,1,69.3894,0.0,74.8395,75.4582,75.6865,75.3426,75.9867,79.2398
1501460414,2017/07/31 00:20:14,1,69.3894,0.0,74.8395,75.4582,75.6865,75.3426,75.9867,79.2398
1501460419,2017/07/31 00:20:19,1,69.3894,0.0,74.8397,75.4583,75.6866,75.3424,75.9869,79.2395
1501460424,2017/07/31 00:20:24,1,69.3884,0.0,74.8397,75.4583,75.6866,75.3424,75.9869,79.2395
1501460429,2017/07/31 00:20:29,1,69.3894,0.0,74.8387,75.4582,75.6873,75.3422,75.9863,79.2389
1501460434,2017/07/31 00:20:34,1,69.3894,0.0,74.8387,75.4582,75.6873,75.3422,75.9863,79.2389
1501460439,2017/07/31 00:20:39,1,69.3888,0.0,74.8387,75.4578,75.6878,75.3427,75.9872,79.2381
1501460444,2017/07/31 00:20:44,1,69.3894,0.0,74.8387,75.4578,75.6878,75.3427,75.9872,79.2381
1501460449,2017/07/31 00:20:49,1,69.3894,0.0,74.8384,75.4583,75.6879,75.3424,75.9882,79.2378
1501460454,2017/07/31 00:20:54,1,69.3894,0.0,74.8384,75.4583,75.6879,75.3424,75.9882,79.2378
1501460459,2017/07/31 00:20:59,1,69.3889,0.0,74.8386,75.4577,75.6872,75.3426,75.9884,79.2375
1501460464,2017/07/31 00:21:04,1,69.3894,0.0,74.8386,75.4577,75.6872,75.3426,75.9884,79.2375
1501460469,2017/07/31 00:21:09,1,69.3889,0.0,74.8382,75.4573,75.6878,75.3431,75.9880,79.2376
1501460474,2017/07/31 00:21:14,1,69.3884,0.0,74.8382,75.4573,75.6878,75.3431,75.9880,79.2376
1501460479,2017/07/31 00:21:19,1,69.3894,0.0,74.8381,75.4564,75.6877,75.3430,75.9884,79.2380
1501460484,2017/07/31 00:21:24,1,69.389,0.0,74.8381,75.4564,75.6877,75.3430,75.9884,79.2380
1501460489,2017/07/31 00:21:29,1,69.3894,0.0,74.8388,75.4558,75.6871,75.3424,75.9891,79.2378
1501460494,2017/07/31 00:21:34,1,69.3894,0.0,74.8388,75.4558,75.6871,75.3424,75.9891,79.2378
1501460499,2017/07/31 00:21:39,1,69.3889,0.0,74.8391,75.4565,75.6878,75.3414,75.9885,79.2363
1501460504,2017/07/31 00:21:44,1,69.3894,0.0,74.8391,75.4565,75.6878,75.3414,75.9885,79.2363
1501460509,2017/07/31 00:21:49,1,69.3894,0.0,74.8383,75.4565,75.6874,75.3419,75.9886,79.2355
1501460514,2017/07/31 00:21:54,1,69.3884,0.0,74.8383,75.4565,75.6874,75.3419,75.9886,79.2355
1501460519,2017/07/31 00:21:59,1,69.3894,0.0,74.8378,75.4560,75.6878,75.3431,75.9889,79.2354
1501460524,2017/07/31 00:22:04,1,69.3899,0.0,74.8378,75.4560,75.6878,75.3431,75.9889,79.2354
